date,temp,wind_speed,wind_direction,humidity,dew_temp,pressure,sea_pressure,sunshine,solar_radiation,Btype,Num_floor,area,mir_dorm
2019-06-01 0:00,15.6,1.2,180,80,12.1,1004.3,1012.6,0,0,2,16,12359.94,127.23
2019-06-01 1:00,15.1,1.5,160,83,12.2,1004.3,1012.6,0,0,2,16,12359.94,139.2
2019-06-01 2:00,14.6,1.6,160,87,12.4,1003.9,1012.2,0,0,2,16,12359.94,118.91
2019-06-01 3:00,14.3,1.6,160,89,12.5,1004.1,1012.4,0,0,2,16,12359.94,106.69
2019-06-01 4:00,14,1.5,140,90,12.3,1003.9,1012.2,0,0,2,16,12359.94,94.34
2019-06-01 5:00,13.5,0.5,140,90,11.8,1003.7,1012.1,0,0,2,16,12359.94,85.76
2019-06-01 6:00,12.9,1,270,91,11.4,1003.4,1011.8,0.4,0.09,2,16,12359.94,75.46
2019-06-01 7:00,14.3,0.8,270,89,12.5,1003.4,1011.7,0.9,0.55,2,16,12359.94,76.61
2019-06-01 8:00,16.1,0.6,140,81,12.8,1003.3,1011.6,1,1.11,2,16,12359.94,65.47
2019-06-01 9:00,17.9,0.8,160,71,12.5,1003.4,1011.6,1,1.75,2,16,12359.94,60.16
2019-06-01 10:00,20.1,1.3,110,57,11.3,1003.4,1011.6,1,2.29,2,16,12359.94,64
2019-06-01 11:00,21.6,1.1,270,54,11.8,1003.3,1011.4,1,2.6,2,16,12359.94,36.74
2019-06-01 12:00,22,1.3,320,53,11.9,1002.9,1011,1,2.88,2,16,12359.94,35.58
2019-06-01 13:00,23,2.1,110,54,13.1,1002.6,1010.6,0.9,2.56,2,16,12359.94,78.53
2019-06-01 14:00,23.3,1.7,160,52,12.8,1002.6,1010.6,0.1,1.9,2,16,12359.94,55.81
2019-06-01 15:00,24.3,0.7,250,49,12.8,1002,1010,0.7,2.33,2,16,12359.94,53.18
2019-06-01 16:00,24.4,0.5,230,49,12.9,1001.5,1009.5,0.3,1.64,2,16,12359.94,88.38
2019-06-01 17:00,24.4,1.5,270,50,13.2,1001.6,1009.6,0.5,1.39,2,16,12359.94,89.73
2019-06-01 18:00,23.8,1.3,270,53,13.6,1001.2,1009.2,0.3,0.71,2,16,12359.94,114.62
2019-06-01 19:00,22.9,1,250,57,13.9,1001.4,1009.4,1,0.63,2,16,12359.94,130.82
2019-06-01 20:00,21,0.8,270,65,14.1,1001.8,1009.9,0,0.07,2,16,12359.94,128.32
2019-06-01 21:00,19.9,0.9,250,71,14.4,1002.2,1010.4,0,0,2,16,12359.94,133.38
2019-06-01 22:00,19.1,0.7,250,75,14.5,1002.4,1010.5,0,0,2,16,12359.94,128.45
2019-06-01 23:00,18.1,0.9,270,80,14.5,1002.1,1010.3,0,0,2,16,12359.94,123.65
2019-06-02 0:00,17.8,2,180,79,14.1,1002.1,1010.3,0,0,2,16,12359.94,121.47
2019-06-02 1:00,17,1.6,250,84,14.2,1001.7,1009.9,0,0,2,16,12359.94,114.43
2019-06-02 2:00,16.7,0.6,250,84,13.9,1001.7,1009.9,0,0,2,16,12359.94,119.87
2019-06-02 3:00,16.3,1.1,250,87,14.1,1001.1,1009.3,0,0,2,16,12359.94,112.51
2019-06-02 4:00,15.4,0.8,230,90,13.7,1001.1,1009.4,0,0,2,16,12359.94,104.06
2019-06-02 5:00,14.9,0,0,92,13.6,1001.5,1009.8,0,0,2,16,12359.94,95.62
2019-06-02 6:00,14.6,1.2,230,93,13.4,1001.2,1009.5,0.1,0.06,2,16,12359.94,76.29
2019-06-02 7:00,15.8,0.8,200,87,13.6,1001.3,1009.6,1,0.54,2,16,12359.94,74.43
2019-06-02 8:00,17.8,0.3,0,76,13.5,1001.1,1009.3,1,1.17,2,16,12359.94,62.27
2019-06-02 9:00,20.1,1.2,90,64,13,1001,1009.1,1,1.96,2,16,12359.94,47.36
