date,temp,wind_speed,wind_direction,humidity,dew_temp,pressure,sea_pressure,sunshine,solar_radiation,applied_engi,medical,mir_dorm,natural_science,mechanical_engi,industry_engi,info_elec,science_culture
2019-06-01 0:00,15.6,1.2,180,80,12.1,1004.3,1012.6,0,0,940.13,64.64,127.23,776.86,170.88,92.48,408.83,52.08
2019-06-01 1:00,15.1,1.5,160,83,12.2,1004.3,1012.6,0,0,901.28,66.05,139.2,738.14,149.25,91.06,381.44,41.33
2019-06-01 2:00,14.6,1.6,160,87,12.4,1003.9,1012.2,0,0,861.02,65.66,118.91,701.66,139.65,89.7,363.14,40.51
2019-06-01 3:00,14.3,1.6,160,89,12.5,1004.1,1012.4,0,0,838.69,64.38,106.69,672.32,132.1,82.5,340.74,39.6
2019-06-01 4:00,14,1.5,140,90,12.3,1003.9,1012.2,0,0,833.47,65.66,94.34,658.88,126.21,79.25,332.29,40.08
2019-06-01 5:00,13.5,0.5,140,90,11.8,1003.7,1012.1,0,0,826.34,65.41,85.76,650.18,121.98,79.01,324.61,37.54
2019-06-01 6:00,12.9,1,270,91,11.4,1003.4,1011.8,0.4,0.09,812.83,64.13,75.46,645.06,120.58,76.96,316.93,35.68
2019-06-01 7:00,14.3,0.8,270,89,12.5,1003.4,1011.7,0.9,0.55,801.12,66.18,76.61,656,114.3,75.87,320.13,31.33
2019-06-01 8:00,16.1,0.6,140,81,12.8,1003.3,1011.6,1,1.11,823.55,80.64,65.47,680.03,123.65,74.11,330.24,17.55
2019-06-01 9:00,17.9,0.8,160,71,12.5,1003.4,1011.6,1,1.75,868.7,94.46,60.16,723.58,146.56,83.02,358.53,10.38
2019-06-01 10:00,20.1,1.3,110,57,11.3,1003.4,1011.6,1,2.29,948.26,105.09,64,827.55,192.9,94.99,407.68,43.04
2019-06-01 11:00,21.6,1.1,270,54,11.8,1003.3,1011.4,1,2.6,1015.71,99.71,36.74,903.97,245.89,112.83,462.59,33.82
2019-06-01 12:00,22,1.3,320,53,11.9,1002.9,1011,1,2.88,1044.7,100.48,35.58,920.35,263.68,115.46,472.7,14.48
2019-06-01 13:00,23,2.1,110,54,13.1,1002.6,1010.6,0.9,2.56,1038.88,110.46,78.53,902.18,231.17,110.34,476.16,29.65
2019-06-01 14:00,23.3,1.7,160,52,12.8,1002.6,1010.6,0.1,1.9,1081.66,106.88,55.81,941.6,261.5,118.05,496.64,49.25
2019-06-01 15:00,24.3,0.7,250,49,12.8,1002,1010,0.7,2.33,1111.65,90.75,53.18,985.15,300.16,121.44,508.42,70.5
2019-06-01 16:00,24.4,0.5,230,49,12.9,1001.5,1009.5,0.3,1.64,1122.98,87.81,88.38,988.96,296.19,118.72,512.77,79.09
2019-06-01 17:00,24.4,1.5,270,50,13.2,1001.6,1009.6,0.5,1.39,1122.69,89.98,89.73,975.14,294.14,115.86,500.74,65.17
2019-06-01 18:00,23.8,1.3,270,53,13.6,1001.2,1009.2,0.3,0.71,1135.68,93.7,114.62,959.97,281.09,104.61,481.28,83.97
2019-06-01 19:00,22.9,1,250,57,13.9,1001.4,1009.4,1,0.63,1041.89,73.6,130.82,899.58,259.97,97.71,451.46,112.86
2019-06-01 20:00,21,0.8,270,65,14.1,1001.8,1009.9,0,0.07,986.18,103.17,128.32,873.15,184.7,94.46,434.43,71.71
2019-06-01 21:00,19.9,0.9,250,71,14.4,1002.2,1010.4,0,0,961.25,100.61,133.38,854.43,175.74,97.57,416.9,68.16
2019-06-01 22:00,19.1,0.7,250,75,14.5,1002.4,1010.5,0,0,949.63,72.83,128.45,825.25,192.51,92.85,401.66,65.76
2019-06-01 23:00,18.1,0.9,270,80,14.5,1002.1,1010.3,0,0,922.85,65.41,123.65,783.71,183.04,85.41,380.93,58.98
2019-06-02 0:00,17.8,2,180,79,14.1,1002.1,1010.3,0,0,889.47,65.66,121.47,731.14,138.11,77.7,359.81,48.08
2019-06-02 1:00,17,1.6,250,84,14.2,1001.7,1009.9,0,0,860.67,65.41,114.43,712.45,122.37,74.06,344.45,41.63
2019-06-02 2:00,16.7,0.6,250,84,13.9,1001.7,1009.9,0,0,839.84,65.28,119.87,695.81,116.48,71.58,330.5,40.66
2019-06-02 3:00,16.3,1.1,250,87,14.1,1001.1,1009.3,0,0,824.93,64.26,112.51,662.75,110.85,69.94,316.8,39.31
2019-06-02 4:00,15.4,0.8,230,90,13.7,1001.1,1009.4,0,0,820,64.77,104.06,652.13,106.88,68.62,310.66,37.6
2019-06-02 5:00,14.9,0,0,92,13.6,1001.5,1009.8,0,0,812.16,64.64,95.62,642.5,103.55,66.45,307.58,36.77
2019-06-02 6:00,14.6,1.2,230,93,13.4,1001.2,1009.5,0.1,0.06,791.94,62.98,76.29,633.76,98.94,63.39,298.75,32.58
2019-06-02 7:00,15.8,0.8,200,87,13.6,1001.3,1009.6,1,0.54,784.42,58.24,74.43,639.94,99.58,64.56,293.5,21.23
2019-06-02 8:00,17.8,0.3,0,76,13.5,1001.1,1009.3,1,1.17,787.87,56.83,62.27,654.75,99.97,65.14,308.1,6.43
2019-06-02 9:00,20.1,1.2,90,64,13,1001,1009.1,1,1.96,798.18,49.79,47.36,674.43,103.94,68.32,312.96,9.33
2019-06-02 10:00,22.5,0.8,70,56,13.2,1000.8,1008.8,1,2.59,814.82,49.15,43.26,708.29,108.67,68.3,323.46,19.94
2019-06-02 11:00,23.7,0.7,230,47,11.7,1000.6,1008.6,1,2.61,829.6,48.64,22.02,736.64,115.97,76.9,340.48,23.46
2019-06-02 12:00,25.1,1.9,290,43,11.6,999.9,1007.9,1,3.64,843.1,48.9,30.98,753.54,129.28,82.13,346.62,19.54
2019-06-02 13:00,27,1.2,270,37,11,999.4,1007.3,1,3.78,857.5,48.38,51.46,770.46,146.18,79.62,346.62,24.74
2019-06-02 14:00,27.5,2,250,31,8.8,998.9,1006.8,1,3.63,875.55,51.07,70.59,780.83,168.06,79.22,367.49,54.94
2019-06-02 15:00,28.1,3,250,37,12,998.4,1006.3,1,3.25,903.81,49.28,63.23,799.78,197.5,80.69,380.16,43.76
