date,temp,wind_speed,wind_direction,humidity,dew_temp,pressure,sea_pressure,sunshine,solar_radiation,Btype,Num_floor,area,applied_engi
2019-12-01 0:00,6.8,0,0,60,-0.4,1018.2,1026.9,0,0,1,7,30322.14,921.09
2019-12-01 1:00,6.6,1.1,70,63,0,1017.8,1026.5,0,0,1,7,30322.14,901.63
2019-12-01 2:00,6.4,0,0,65,0.2,1018,1026.7,0,0,1,7,30322.14,878.14
2019-12-01 3:00,6.2,0,0,64,-0.1,1017.6,1026.3,0,0,1,7,30322.14,847.04
2019-12-01 4:00,5.8,0.7,230,67,0.1,1017.3,1026,0,0,1,7,30322.14,852.35
2019-12-01 5:00,5.6,1,250,69,0.3,1017.2,1025.9,0,0,1,7,30322.14,842.94
2019-12-01 6:00,5.3,0,0,70,0.2,1016.9,1025.7,0,0,1,7,30322.14,844.22
2019-12-01 7:00,5,0.6,250,73,0.5,1016.7,1025.5,0,0,1,7,30322.14,837.31
2019-12-01 8:00,4.7,0,0,76,0.8,1016.7,1025.5,0,0.03,1,7,30322.14,832.64
2019-12-01 9:00,5.6,0.6,250,72,0.9,1016.4,1025.1,0,0.29,1,7,30322.14,837.25
2019-12-01 10:00,6.8,0.5,270,67,1,1016.1,1024.8,0,0.42,1,7,30322.14,864.83
2019-12-01 11:00,7.9,0,0,65,1.7,1015.2,1023.8,0,0.53,1,7,30322.14,870.34
2019-12-01 12:00,8,0,0,72,3.2,1013.9,1022.5,0,0.44,1,7,30322.14,873.09
2019-12-01 13:00,7.6,0,0,87,5.5,1013.1,1021.7,0,0.3,1,7,30322.14,870.53
2019-12-01 14:00,7,0.8,160,88,5.1,1012.5,1021.2,0,0.19,1,7,30322.14,889.79
2019-12-01 15:00,6.9,0.7,250,93,5.8,1011.9,1020.6,0,0.16,1,7,30322.14,916.99
2019-12-01 16:00,6.7,0.6,230,94,5.7,1011.9,1020.6,0,0.1,1,7,30322.14,916.35
2019-12-01 17:00,6.7,0.1,0,95,5.9,1011.3,1020,0,0.01,1,7,30322.14,919.74
2019-12-01 18:00,6.5,0.3,0,96,5.9,1011.4,1020.1,0,0,1,7,30322.14,940.54
2019-12-01 19:00,6.4,0.3,0,96,5.8,1011,1019.7,0,0,1,7,30322.14,942.85
2019-12-01 20:00,6.4,0.7,270,96,5.8,1011.1,1019.8,0,0,1,7,30322.14,937.02
2019-12-01 21:00,6.4,0.1,0,96,5.8,1011,1019.7,0,0,1,7,30322.14,924.74
2019-12-01 22:00,6.3,0,0,96,5.7,1010.4,1019.1,0,0,1,7,30322.14,931.97
2019-12-01 23:00,6.1,1.2,270,96,5.5,1010.5,1019.2,0,0,1,7,30322.14,924.16
2019-12-02 0:00,5.9,1.4,250,96,5.3,1010.6,1019.3,0,0,1,7,30322.14,899.07
2019-12-02 1:00,5.6,2.1,270,96,5,1010.7,1019.4,0,0,1,7,30322.14,877.57
2019-12-02 2:00,4.5,1.3,340,92,3.3,1011.1,1019.8,0,0,1,7,30322.14,847.74
2019-12-02 3:00,3.2,0.2,0,86,1,1011.5,1020.3,0,0,1,7,30322.14,825.66
2019-12-02 4:00,2.7,0.5,270,88,0.9,1011.5,1020.3,0,0,1,7,30322.14,811.9
2019-12-02 5:00,2.4,1,270,90,0.9,1011.7,1020.5,0,0,1,7,30322.14,802.18
2019-12-02 6:00,2.4,1,290,87,0.4,1012,1020.8,0,0,1,7,30322.14,795.46
2019-12-02 7:00,2.4,0.4,0,87,0.4,1012.4,1021.2,0,0,1,7,30322.14,797.95
2019-12-02 8:00,2.2,0.3,0,87,0.2,1012.8,1021.6,0,0.04,1,7,30322.14,788.67
2019-12-02 9:00,2.5,1.1,290,86,0.3,1013.6,1022.4,0.3,0.25,1,7,30322.14,796.42
2019-12-02 10:00,4.1,1.5,290,73,-0.3,1014,1022.8,1,1.09,1,7,30322.14,802.62
2019-12-02 11:00,5.3,2.5,250,60,-1.8,1013.8,1022.5,1,1.42,1,7,30322.14,811.97
2019-12-02 12:00,6,2.6,270,51,-3.3,1013.5,1022.2,0.8,1.61,1,7,30322.14,833.28
2019-12-02 13:00,6.4,3.5,250,38,-6.9,1013,1021.7,1,2.21,1,7,30322.14,852.93
2019-12-02 14:00,7.1,3.2,250,38,-6.2,1012.9,1021.6,1,1.98,1,7,30322.14,901.5
2019-12-02 15:00,6.2,4.3,270,40,-6.4,1013.3,1022,1,1.5,1,7,30322.14,930.18
2019-12-02 16:00,5.1,3.4,250,50,-4.4,1013.9,1022.6,0.8,0.64,1,7,30322.14,952.13
2019-12-02 17:00,3.5,2.5,250,55,-4.7,1014.6,1023.4,0.4,0.27,1,7,30322.14,937.73
2019-12-02 18:00,2.5,1.4,270,65,-3.4,1015.5,1024.3,0,0,1,7,30322.14,940.22
