date,temp,wind_speed,wind_direction,humidity,dew_temp,pressure,sea_pressure,sunshine,solar_radiation,applied_engi,medical,mir_dorm,natural_science,mechanical_engi,industry_engi,info_elec,science_culture
2019-12-01 0:00,6.8,0,0,60,-0.4,1018.2,1026.9,0,0,921.09,67.84,219.58,761.54,331.84,89.33,348.16,57.41
2019-12-01 1:00,6.6,1.1,70,63,0,1017.8,1026.5,0,0,901.63,71.04,221.12,728.83,295.74,88.34,333.06,79.58
2019-12-01 2:00,6.4,0,0,65,0.2,1018,1026.7,0,0,878.14,69.38,214.34,685.44,309.78,86.93,317.95,111.14
2019-12-01 3:00,6.2,0,0,64,-0.1,1017.6,1026.3,0,0,847.04,69.12,210.62,652.03,295.99,84.34,305.92,106.85
2019-12-01 4:00,5.8,0.7,230,67,0.1,1017.3,1026,0,0,852.35,68.1,197.31,638.02,290.59,75.5,298.75,117.15
2019-12-01 5:00,5.6,1,250,69,0.3,1017.2,1025.9,0,0,842.94,69.63,200.38,631.68,283.49,73.95,293.63,113.5
2019-12-01 6:00,5.3,0,0,70,0.2,1016.9,1025.7,0,0,844.22,68.48,204.29,626.88,283.51,73.25,286.98,106.18
2019-12-01 7:00,5,0.6,250,73,0.5,1016.7,1025.5,0,0,837.31,69.12,193.34,633.6,294.89,72.7,289.54,108.64
2019-12-01 8:00,4.7,0,0,76,0.8,1016.7,1025.5,0,0.03,832.64,71.81,198.98,646.59,312.55,68.96,296.19,107.65
2019-12-01 9:00,5.6,0.6,250,72,0.9,1016.4,1025.1,0,0.29,837.25,64.9,181.89,658.62,318.63,73.47,306.43,95.33
2019-12-01 10:00,6.8,0.5,270,67,1,1016.1,1024.8,0,0.42,864.83,60.29,162.11,674.5,309.94,73.58,314.11,65.98
2019-12-01 11:00,7.9,0,0,65,1.7,1015.2,1023.8,0,0.53,870.34,54.53,136.51,706.88,315.05,75.98,323.07,46.78
2019-12-01 12:00,8,0,0,72,3.2,1013.9,1022.5,0,0.44,873.09,56.96,164.54,723.33,347.94,74.99,330.5,65.47
2019-12-01 13:00,7.6,0,0,87,5.5,1013.1,1021.7,0,0.3,870.53,55.17,157.18,738.62,330.49,76.24,316.93,21.09
2019-12-01 14:00,7,0.8,160,88,5.1,1012.5,1021.2,0,0.19,889.79,48.38,107.52,749.31,350.01,82.06,326.66,0.32
2019-12-01 15:00,6.9,0.7,250,93,5.8,1011.9,1020.6,0,0.16,916.99,52.35,126.72,775.81,347.91,85.62,343.04,1.86
2019-12-01 16:00,6.7,0.6,230,94,5.7,1011.9,1020.6,0,0.1,916.35,57.86,148.35,773.89,327.86,91.55,358.14,31.17
2019-12-01 17:00,6.7,0.1,0,95,5.9,1011.3,1020,0,0.01,919.74,61.57,168.58,774.91,319.87,96.9,367.1,56
2019-12-01 18:00,6.5,0.3,0,96,5.9,1011.4,1020.1,0,0,940.54,66.69,189.5,776.77,331.13,95.7,362.24,64.96
2019-12-01 19:00,6.4,0.3,0,96,5.8,1011,1019.7,0,0,942.85,64.77,191.42,764.93,333.4,86.96,347.39,63.04
2019-12-01 20:00,6.4,0.7,270,96,5.8,1011.1,1019.8,0,0,937.02,64.9,211.52,776.38,296.86,84.7,347.14,54.21
2019-12-01 21:00,6.4,0.1,0,96,5.8,1011,1019.7,0,0,924.74,64.51,206.02,782.08,312.53,84.37,345.09,61.41
2019-12-01 22:00,6.3,0,0,96,5.7,1010.4,1019.1,0,0,931.97,64.64,210.56,766.08,320.59,81.76,351.49,62.72
2019-12-01 23:00,6.1,1.2,270,96,5.5,1010.5,1019.2,0,0,924.16,64.64,211.26,731.58,327.19,80.64,343.04,61.95
2019-12-02 0:00,5.9,1.4,250,96,5.3,1010.6,1019.3,0,0,899.07,66.43,199.42,701.18,298.07,79.07,324.86,48.1
