Pd,Tin,RHin,Tout,RHout,Pa,Ws,Wd,SR,Td,RHd,NVR
0.009000000000000001,25.0,65,20.8,84,1015.1,0.0,276,0.0062256,4.2,-19,0.6624
0.005,25.0,65,20.9,84,1015.2,0.0,276,0.006176399999999999,4.1,-19,0.7416
0.008,24.9,66,20.8,83,1015.2,0.0,276,0.0061091999999999995,4.1,-17,0.6264
0.005,25.0,65,20.9,83,1015.1,0.0,276,0.0060096,4.1,-18,0.5904
0.008,25.0,65,21.0,83,1015.1,0.0,276,0.0059466,4.0,-18,0.6264
0.012,25.0,65,21.0,83,1015.2,0.0,276,0.0059286,4.0,-18,0.7416
0.013000000000000001,25.1,65,21.0,83,1015.3,0.0,276,0.0059466,4.1,-18,0.792
0.015,25.0,65,20.9,83,1015.1,0.0,276,0.0059813999999999996,4.1,-18,0.8136
0.013999999999999999,25.1,65,21.0,83,1015.3,0.0,276,0.0060348,4.1,-18,0.792
0.017,25.1,65,21.1,82,1015.3,0.0,276,0.0061302,4.0,-17,0.8064
0.012,25.1,65,21.1,82,1015.0,0.0,276,0.0062136000000000005,4.0,-17,0.7632
0.012,25.1,65,21.1,82,1015.4,0.0,276,0.0063203999999999995,4.0,-17,0.7488
0.005,25.1,65,21.0,82,1015.2,0.0,276,0.0064062,4.1,-17,0.5904
0.005,25.1,65,21.1,82,1015.1,0.0,276,0.0064643999999999995,4.0,-17,0.6048
0.013999999999999999,25.1,65,21.1,83,1015.3,0.0,276,0.006501600000000001,4.0,-18,0.7848
0.013999999999999999,25.1,65,21.1,82,1015.2,0.0,276,0.0065574,4.0,-17,0.7992
0.016,25.1,65,21.2,82,1015.4,0.0,276,0.006631199999999999,3.9,-17,0.8424
0.013999999999999999,25.1,65,21.2,82,1015.3,0.0,276,0.006717,3.9,-17,0.7776
0.01,25.1,65,21.2,82,1015.0,0.0,276,0.0067686000000000005,3.9,-17,0.7272
0.013000000000000001,25.1,65,21.2,83,1015.3,0.0,276,0.0068214,3.9,-18,0.7632
0.012,25.2,65,21.3,82,1015.3,0.0,276,0.006858599999999999,3.9,-17,0.7559999999999999
0.006999999999999999,25.2,65,21.3,82,1015.5,0.0,276,0.0068358,3.9,-17,0.648
0.006999999999999999,25.2,65,21.4,82,1015.2,0.0,276,0.0067986,3.8,-17,0.6192
0.005,25.2,65,21.5,82,1015.1,0.0,276,0.0067542,3.7,-17,0.5472
0.003,25.3,65,21.4,81,1015.5,0.0,276,0.0067476,3.9,-16,0.504
0.004,25.3,65,21.5,81,1015.5,0.0,276,0.006803399999999999,3.8,-16,0.6048
0.006999999999999999,25.3,65,21.5,81,1015.4,0.0,276,0.0068706,3.8,-16,0.5976
0.009000000000000001,25.3,65,21.5,81,1015.4,0.0,276,0.0069678,3.8,-16,0.6408
0.006999999999999999,25.3,65,21.6,81,1015.4,0.0,276,0.007100399999999999,3.7,-16,0.5688
