Pd,Tin,RHin,Tout,RHout,Pa,Ws,Wd,SR,Td,RHd,NVR
0.37,28.2,46,24.8,63.2,998.3,1.5,211.0,0.06,3.4,-17.2,16.813
0.37,28.2,46,24.8,62.5,998.3,1.1,247.6,0.06,3.4,-16.5,17.403
0.38,28.3,46,24.8,62.0,998.3,2.1,280.3,0.06,3.5,-16.0,16.518
0.39,28.3,46,24.9,63.0,998.2,2.0,284.1,0.06,3.4,-17.0,25.662
0.38,28.3,46,25.0,63.1,998.3,2.8,266.6,0.05,3.3,-17.1,15.338
0.38,28.3,46,25.1,62.6,998.3,1.6,276.7,0.06,3.2,-16.6,11.208
0.38,28.3,46,25.1,61.9,998.3,1.6,296.1,0.06,3.2,-15.9,9.144
0.38,28.3,46,25.1,61.3,998.3,2.1,288.1,0.06,3.2,-15.3,1.475
0.38,28.4,45,25.0,61.1,998.3,2.8,271.0,0.07,3.4,-16.1,0.885
0.38,28.4,45,25.0,62.0,998.2,1.2,275.5,0.06,3.4,-17.0,0.59
0.37,28.4,45,25.1,63.0,998.2,0.9,311.4,0.06,3.3,-18.0,3.54
0.37,28.4,45,25.2,63.0,998.2,2.2,282.7,0.06,3.2,-18.0,9.144
0.38,28.4,45,25.2,61.4,998.2,2.3,318.1,0.06,3.2,-16.4,12.388
0.38,27.3,36,25.1,60.4,998.2,1.3,296.9,0.06,2.2,-24.4,17.993
0.39,27.2,37,25.1,61.1,998.2,1.9,309.6,0.06,2.1,-24.1,3.245
0.37,27.1,38,25.1,61.7,998.2,1.9,286.2,0.06,2.0,-23.7,2.36
0.37,27.1,38,25.2,62.1,998.2,1.5,282.0,0.06,1.9,-24.1,6.489
0.37,27.0,37,25.2,62.1,998.3,1.2,305.4,0.06,1.8,-25.1,10.324000000000002
0.37,27.0,37,25.3,62.2,998.3,2.6,313.7,0.07,1.7,-25.2,7.079
0.36,27.0,37,25.3,61.6,998.3,2.8,311.0,0.06,1.7,-24.6,4.4239999999999995
0.37,26.9,38,25.3,61.2,998.3,1.1,320.0,0.06,1.6,-23.2,3.245
0.36,26.7,37,25.2,60.9,998.3,1.8,282.4,0.07,1.5,-23.9,2.655
0.36,26.6,36,25.2,61.1,998.3,1.9,271.2,0.06,1.4,-25.1,4.718999999999999
0.36,26.5,36,25.3,61.4,998.3,1.7,290.4,0.06,1.2,-25.4,1.475
0.36,26.5,36,25.3,60.9,998.3,2.3,281.1,0.06,1.2,-24.9,7.669
0.36,26.5,36,25.3,61.2,998.3,2.5,267.4,0.07,1.2,-25.2,8.849
0.35,26.5,36,25.3,60.7,998.3,2.0,279.9,0.06,1.2,-24.7,2.36
0.35,26.4,37,25.3,60.3,998.3,2.5,297.2,0.06,1.1,-23.3,16.813
0.35,26.4,37,25.3,60.6,998.3,1.4,250.8,0.07,1.1,-23.6,10.914000000000001
0.33,26.3,37,25.4,61.1,998.3,3.9,279.6,0.07,0.9,-24.1,11.503
0.35,26.3,37,25.5,61.2,998.3,4.2,275.8,0.05,0.8,-24.2,13.568
0.35,26.3,37,25.6,59.8,998.3,3.4,275.6,0.04,0.7,-22.8,13.273
0.35,26.3,37,25.5,59.0,998.3,2.8,282.5,0.03,0.8,-22.0,5.309
0.34,26.2,37,25.5,59.6,998.3,2.4,277.1,0.02,0.7,-22.6,1.77
0.34,26.1,37,25.5,60.1,998.3,2.6,281.3,0.02,0.6,-23.1,20.352
0.34,25.9,37,25.4,60.1,998.3,1.6,269.8,0.05,0.5,-23.1,3.8339999999999996
0.33,26.0,37,25.4,60.8,998.3,1.2,282.8,0.07,0.6,-23.8,2.065
0.34,26.0,37,25.5,60.9,998.3,0.6,236.8,0.07,0.5,-23.9,3.245
0.34,25.9,37,25.6,62.0,998.3,0.9,250.3,0.07,0.3,-25.0,7.669
0.33,25.9,37,25.7,60.4,998.3,1.2,261.4,0.05,0.2,-23.4,2.36
0.33,25.8,37,25.7,60.2,998.3,1.4,240.8,0.04,0.1,-23.2,1.77
0.33,25.8,37,25.7,59.1,998.3,2.2,274.8,0.05,0.1,-22.1,3.54
0.33,25.8,37,25.7,59.5,998.3,1.8,226.2,0.07,0.1,-22.5,12.683
0.33,25.7,37,25.7,59.5,998.2,2.0,275.9,0.04,0.0,-22.5,16.223
0.32,25.7,36,25.6,59.1,998.3,3.1,277.3,0.03,0.1,-23.1,1.77
0.32,25.6,36,25.6,59.2,998.3,2.4,293.6,0.02,0.0,-23.2,3.8339999999999996
0.33,25.6,36,25.6,59.1,998.3,2.0,286.7,0.03,0.0,-23.1,2.065
0.32,25.6,36,25.6,59.8,998.3,2.0,286.8,0.01,0.0,-23.8,7.9639999999999995
0.32,25.6,37,25.6,59.8,998.3,1.2,265.2,0.03,0.0,-22.8,2.36
0.33,25.5,36,25.6,60.3,998.3,1.5,293.7,0.07,-0.1,-24.3,10.324000000000002
0.34,25.5,36,25.5,60.0,998.3,1.9,271.9,0.07,0.0,-24.0,7.9639999999999995
0.31,25.4,36,25.5,59.8,998.3,2.0,294.7,0.07,-0.1,-23.8,4.4239999999999995
0.31,25.4,36,25.5,59.2,998.3,1.1,264.0,0.06,-0.1,-23.2,18.582
0.31,25.4,36,25.5,58.4,998.3,1.4,339.2,0.07,-0.1,-22.4,5.013999999999999
0.32,25.4,36,25.5,58.4,998.3,1.2,345.3,0.07,-0.1,-22.4,15.043
0.31,25.4,37,25.5,58.8,998.3,1.9,282.9,0.05,-0.1,-21.8,4.129
0.3,25.4,37,25.6,59.4,998.3,1.8,276.2,0.03,-0.2,-22.4,1.475
0.3,25.3,37,25.7,59.3,998.2,1.7,296.9,0.05,-0.4,-22.3,2.36
0.31,25.2,37,25.7,58.8,998.2,1.7,330.6,0.06,-0.5,-21.8,16.813
0.31,25.2,37,25.8,60.2,998.2,1.9,326.6,0.08,-0.6,-23.2,5.309
0.29,25.2,37,25.9,61.3,998.2,2.1,326.3,0.07,-0.7,-24.3,4.718999999999999
0.31,25.2,37,25.9,59.9,998.2,1.7,353.1,0.05,-0.7,-22.9,12.093
0.3,25.2,37,26.1,61.3,998.1,0.7,342.8,0.03,-0.9,-24.3,7.669
0.3,25.1,36,26.3,61.6,998.1,1.2,279.1,0.02,-1.2,-25.6,7.9639999999999995
0.3,25.1,36,26.3,59.3,998.1,2.5,243.4,0.02,-1.2,-23.3,2.655
0.29,25.0,36,26.1,57.7,998.1,1.6,258.8,0.03,-1.1,-21.7,1.77
0.29,25.0,36,26.0,57.2,998.1,1.9,246.2,0.06,-1.0,-21.2,3.54
0.29,25.0,37,25.9,58.2,998.1,1.9,281.0,0.05,-0.9,-21.2,4.129
0.31,24.9,37,26.0,59.7,998.1,2.2,325.4,0.03,-1.1,-22.7,17.993
0.29,24.9,36,25.9,59.0,998.1,2.0,320.9,0.06,-1.0,-23.0,6.489
0.29,24.9,36,25.8,58.3,998.1,1.6,278.4,0.07,-0.9,-22.3,8.554
0.29,24.9,36,25.8,58.4,998.1,2.0,250.7,0.07,-0.9,-22.4,8.554
0.29,24.9,36,25.7,57.7,998.0,1.6,276.9,0.07,-0.8,-21.7,11.208
0.3,25.2,37,25.8,58.7,998.0,1.8,283.0,0.07,-0.6,-21.7,27.136
0.3,25.2,37,25.9,59.1,998.0,2.2,299.4,0.06,-0.7,-22.1,3.245
0.28,25.2,37,25.9,57.8,998.0,2.6,282.4,0.07,-0.7,-20.8,15.927999999999999
0.28,25.1,36,26.0,58.2,998.0,2.6,276.3,0.06,-0.9,-22.2,5.309
0.28,25.1,36,26.0,57.3,998.0,1.9,290.4,0.07,-0.9,-21.3,4.4239999999999995
