BVP,EDA,HR,TEMP,Tin,Rhin,TSV,TSV_Label
0.07,1.43,83.12,36.47,27.30,30.70,1,Hot
0.30,1.80,77.80,36.10,27.30,30.70,1,Hot
-0.49,2.72,81.41,35.96,27.30,30.70,1,Hot
-0.05,2.71,93.09,36.04,27.30,30.70,1,Hot
0.16,2.52,89.60,35.94,27.30,30.70,1,Hot
0.06,2.75,79.11,35.77,27.30,30.70,1,Hot
-0.40,2.90,77.00,35.63,27.30,30.70,1,Hot
0.42,2.39,77.52,35.59,27.30,30.70,1,Hot
0.19,1.82,78.48,35.51,27.30,30.70,1,Hot
-0.35,1.74,75.79,35.62,27.60,30.10,1,Hot
0.00,1.32,78.07,35.89,27.80,26.70,1,Hot
0.20,1.44,77.18,36.01,27.90,24.60,1,Hot
0.38,1.86,82.26,36.01,27.80,24.30,1,Hot
-0.33,2.27,85.06,35.99,27.70,24.40,1,Hot
-0.42,3.04,80.81,35.92,27.60,24.60,1,Hot
0.10,3.31,76.15,35.83,27.50,24.90,1,Hot
-0.49,2.38,69.88,35.75,27.40,24.70,1,Hot
1.16,1.43,81.47,35.60,27.30,24.80,1,Hot
-0.76,0.55,102.90,35.63,27.20,24.90,1,Hot
-0.21,0.48,95.06,35.52,27.10,25.00,1,Hot
0.46,0.32,81.37,35.39,27.10,25.20,1,Hot
-0.04,0.33,76.50,35.26,27.00,25.20,1,Hot
0.09,0.35,74.29,35.10,26.90,25.40,1,Hot
0.42,0.43,74.92,35.14,26.90,25.50,1,Hot
-0.48,0.67,77.79,35.16,26.80,25.60,1,Hot
-0.84,0.89,79.83,35.24,26.80,25.80,1,Hot
1.75,0.85,80.22,35.29,26.70,26.00,1,Hot
-0.34,0.71,83.50,35.32,26.70,26.10,1,Hot
-0.01,0.66,85.80,35.35,26.70,26.00,1,Hot
-1.04,2.26,83.27,35.58,26.60,26.20,1,Hot
2.13,3.44,88.77,35.80,26.60,26.20,1,Hot
-1.82,2.57,83.53,35.75,26.60,26.40,1,Hot
0.34,1.98,93.66,35.73,26.60,26.40,1,Hot
-0.23,1.41,90.25,35.75,26.60,26.30,1,Hot
-0.01,1.03,77.86,35.79,26.50,26.30,1,Hot
0.60,0.79,73.46,35.82,26.50,26.30,1,Hot
-0.61,0.58,59.85,35.85,26.50,26.40,1,Hot
-0.59,0.50,65.66,35.88,26.50,26.20,1,Hot
0.32,0.55,76.90,35.94,26.50,26.20,1,Hot
0.68,0.70,76.14,35.98,26.50,25.90,1,Hot
-0.48,0.62,83.33,36.02,26.50,25.70,1,Hot
0.17,0.48,81.83,36.03,26.50,25.50,1,Hot
-0.25,0.38,82.07,36.04,26.50,25.60,1,Hot
0.39,0.31,76.90,36.02,26.50,25.70,1,Hot
0.01,0.26,82.18,35.96,26.50,25.50,1,Hot
-2.28,0.22,77.71,35.89,26.40,25.40,1,Hot
2.11,0.18,74.70,35.81,26.40,25.30,0,Neutral
-0.70,0.16,78.05,35.84,26.40,25.20,0,Neutral
0.15,0.13,82.30,35.81,26.40,25.20,0,Neutral
0.50,0.12,79.57,35.81,26.40,25.10,0,Neutral
0.05,0.10,76.57,35.80,26.40,25.10,0,Neutral
-0.20,0.09,73.54,35.80,26.40,25.20,0,Neutral
0.19,0.08,75.90,35.79,26.40,25.30,0,Neutral
0.34,0.07,77.64,35.75,26.40,25.00,0,Neutral
-0.65,0.07,76.57,35.70,26.50,24.90,0,Neutral
0.65,0.07,77.62,35.71,26.50,24.90,0,Neutral
-0.32,0.06,72.56,35.72,26.50,24.80,0,Neutral
-1.09,0.13,72.15,35.73,26.50,24.80,0,Neutral
1.02,0.13,82.77,35.73,26.50,24.80,0,Neutral
0.09,0.11,82.34,35.73,26.50,24.80,0,Neutral
-0.37,0.10,81.04,35.77,26.50,24.80,0,Neutral
0.48,0.08,89.27,35.76,26.50,24.70,0,Neutral
0.29,0.07,74.98,35.73,26.50,24.60,0,Neutral
-0.58,0.05,77.72,35.71,26.50,24.50,0,Neutral
1.75,0.05,76.90,35.64,26.50,24.50,0,Neutral
-1.31,0.05,81.93,35.55,26.50,24.50,0,Neutral
-0.14,0.05,82.04,35.58,26.50,24.50,0,Neutral
-0.70,0.10,80.64,35.52,26.50,24.40,0,Neutral
0.58,0.26,77.39,35.35,26.60,24.40,0,Neutral
1.17,0.33,78.62,35.28,26.60,24.40,0,Neutral
-0.94,0.48,87.67,35.41,26.60,24.40,0,Neutral
-0.26,0.51,79.88,35.45,26.60,24.40,0,Neutral
-0.95,0.46,77.84,35.18,26.60,24.40,0,Neutral
-0.56,0.46,87.00,34.83,26.60,24.30,0,Neutral
1.90,0.45,101.57,34.89,26.60,24.40,0,Neutral
-0.02,0.43,92.67,34.84,26.60,24.30,0,Neutral
0.16,0.43,81.20,34.67,26.60,24.30,-1,Cold
-0.05,2.44,94.95,27.46,26.40,21.40,-1,Cold
0.01,2.64,115.48,27.82,26.40,21.40,-1,Cold
0.02,2.84,99.40,28.19,26.40,21.40,-1,Cold
-0.01,2.62,128.26,28.54,26.40,21.20,-1,Cold
0.02,3.03,94.47,28.85,26.40,21.20,-1,Cold
0.01,3.09,88.09,29.08,26.40,21.10,-1,Cold
-0.02,2.83,109.43,29.25,26.40,21.10,-1,Cold
0.00,3.37,141.96,29.39,26.40,21.10,-1,Cold
0.13,3.36,123.80,29.50,26.40,21.00,1,Hot
-0.10,2.28,99.12,29.60,26.40,21.10,1,Hot
0.00,2.04,108.93,29.72,26.40,21.10,1,Hot
-0.03,3.57,118.55,29.84,26.40,21.20,1,Hot
0.03,4.81,118.48,29.95,26.40,21.40,1,Hot
-0.04,6.05,88.60,30.11,26.50,21.40,1,Hot
0.19,6.55,89.81,30.25,26.50,21.50,1,Hot
-0.11,6.75,67.22,30.41,26.50,21.50,1,Hot
-0.09,5.70,74.64,30.56,26.50,21.60,1,Hot
-0.04,5.32,85.62,30.72,26.50,21.50,1,Hot
-0.08,3.62,117.99,30.86,26.50,21.60,1,Hot
0.12,3.73,105.95,31.00,26.60,21.70,1,Hot
-0.05,3.11,100.11,31.12,26.60,21.70,1,Hot
0.06,2.93,81.31,31.26,26.60,21.80,1,Hot
0.01,2.54,80.51,31.39,26.60,21.80,1,Hot
-0.02,3.23,99.70,31.51,26.60,21.80,1,Hot
0.01,3.25,101.62,31.60,26.60,21.80,1,Hot
0.01,4.25,86.42,31.69,26.60,21.80,1,Hot
0.02,3.99,106.79,31.81,26.60,21.80,1,Hot
-0.05,5.68,84.36,31.91,26.60,21.90,1,Hot
0.01,5.43,88.63,31.98,26.60,21.80,1,Hot
0.00,5.06,87.10,32.02,26.60,21.70,1,Hot
0.03,5.08,82.06,32.05,26.60,21.70,1,Hot
0.12,4.74,79.74,32.06,26.60,21.80,1,Hot
-0.13,5.55,76.55,32.08,26.70,21.90,1,Hot
-0.03,4.71,84.44,32.08,26.70,21.80,1,Hot
0.02,3.93,92.70,32.07,26.70,21.70,1,Hot
0.00,3.54,103.60,32.01,26.70,21.60,1,Hot
0.00,3.97,111.84,31.93,26.70,21.60,1,Hot
0.23,4.20,125.53,31.80,26.70,21.50,1,Hot
-0.19,3.82,85.05,31.66,26.70,21.60,1,Hot
-0.03,3.48,86.92,31.55,26.70,21.50,1,Hot
0.08,3.88,91.86,31.44,26.70,21.60,1,Hot
-0.12,2.68,75.44,31.36,26.70,21.60,1,Hot
0.04,2.93,84.71,31.23,26.70,21.50,1,Hot
0.11,4.21,94.86,31.19,26.70,21.50,1,Hot
-0.14,4.17,90.80,31.22,26.70,21.60,1,Hot
0.02,3.42,85.78,31.31,26.70,21.60,1,Hot
0.01,2.91,73.28,31.40,26.70,21.60,1,Hot
0.01,2.41,60.45,31.51,26.70,21.70,1,Hot
-0.01,2.21,71.89,31.61,26.70,21.80,1,Hot
0.00,3.12,89.22,31.72,26.70,21.80,1,Hot
0.01,3.77,77.22,31.80,26.70,21.80,1,Hot
0.05,3.37,70.16,31.91,26.70,22.00,1,Hot
-0.06,3.25,90.54,32.02,26.80,22.00,1,Hot
0.01,2.88,86.96,32.12,26.80,22.00,1,Hot
-0.02,3.18,106.62,32.20,26.80,21.90,1,Hot
0.00,3.40,120.26,32.27,26.80,21.80,1,Hot
0.01,3.07,129.02,32.31,26.80,21.70,1,Hot
0.04,2.59,142.71,32.34,26.80,21.70,1,Hot
