BVP,EDA,HR,TEMP,Tin,Rhin,TSV
0.07,1.43,83.12,36.47,27.3,30.7,1
0.3,1.8,77.8,36.1,27.3,30.7,1
-0.49,2.72,81.41,35.96,27.3,30.7,1
-0.05,2.71,93.09,36.04,27.3,30.7,1
0.16,2.52,89.6,35.94,27.3,30.7,1
0.06,2.75,79.11,35.77,27.3,30.7,1
-0.4,2.9,77,35.63,27.3,30.7,1
0.42,2.39,77.52,35.59,27.3,30.7,1
0.19,1.82,78.48,35.51,27.3,30.7,1
-0.35,1.74,75.79,35.62,27.6,30.1,1
0,1.32,78.07,35.89,27.8,26.7,1
0.2,1.44,77.18,36.01,27.9,24.6,1
0.38,1.86,82.26,36.01,27.8,24.3,1
-0.33,2.27,85.06,35.99,27.7,24.4,1
-0.42,3.04,80.81,35.92,27.6,24.6,1
0.1,3.31,76.15,35.83,27.5,24.9,1
-0.49,2.38,69.88,35.75,27.4,24.7,1
1.16,1.43,81.47,35.6,27.3,24.8,1
-0.76,0.55,102.9,35.63,27.2,24.9,1
-0.21,0.48,95.06,35.52,27.1,25,1
0.46,0.32,81.37,35.39,27.1,25.2,1
-0.04,0.33,76.5,35.26,27,25.2,1
0.09,0.35,74.29,35.1,26.9,25.4,1
0.42,0.43,74.92,35.14,26.9,25.5,1
-0.48,0.67,77.79,35.16,26.8,25.6,1
-0.84,0.89,79.83,35.24,26.8,25.8,1
1.75,0.85,80.22,35.29,26.7,26,1
-0.34,0.71,83.5,35.32,26.7,26.1,1
-0.01,0.66,85.8,35.35,26.7,26,1
-1.04,2.26,83.27,35.58,26.6,26.2,1
2.13,3.44,88.77,35.8,26.6,26.2,1
-1.82,2.57,83.53,35.75,26.6,26.4,1
0.34,1.98,93.66,35.73,26.6,26.4,1
-0.23,1.41,90.25,35.75,26.6,26.3,1
-0.01,1.03,77.86,35.79,26.5,26.3,1
0.6,0.79,73.46,35.82,26.5,26.3,1
-0.61,0.58,59.85,35.85,26.5,26.4,1
-0.59,0.5,65.66,35.88,26.5,26.2,1
0.32,0.55,76.9,35.94,26.5,26.2,1
0.68,0.7,76.14,35.98,26.5,25.9,1
-0.48,0.62,83.33,36.02,26.5,25.7,1
0.17,0.48,81.83,36.03,26.5,25.5,1
-0.25,0.38,82.07,36.04,26.5,25.6,1
0.39,0.31,76.9,36.02,26.5,25.7,1
0.01,0.26,82.18,35.96,26.5,25.5,1
-2.28,0.22,77.71,35.89,26.4,25.4,1
2.11,0.18,74.7,35.81,26.4,25.3,0
-0.7,0.16,78.05,35.84,26.4,25.2,0
0.15,0.13,82.3,35.81,26.4,25.2,0
0.5,0.12,79.57,35.81,26.4,25.1,0
0.05,0.1,76.57,35.8,26.4,25.1,0
-0.2,0.09,73.54,35.8,26.4,25.2,0
0.19,0.08,75.9,35.79,26.4,25.3,0
0.34,0.07,77.64,35.75,26.4,25,0
-0.65,0.07,76.57,35.7,26.5,24.9,0
0.65,0.07,77.62,35.71,26.5,24.9,0
-0.32,0.06,72.56,35.72,26.5,24.8,0
-1.09,0.13,72.15,35.73,26.5,24.8,0
1.02,0.13,82.77,35.73,26.5,24.8,0
0.09,0.11,82.34,35.73,26.5,24.8,0
-0.37,0.1,81.04,35.77,26.5,24.8,0
0.48,0.08,89.27,35.76,26.5,24.7,0
0.29,0.07,74.98,35.73,26.5,24.6,0
-0.58,0.05,77.72,35.71,26.5,24.5,0
1.75,0.05,76.9,35.64,26.5,24.5,0
-1.31,0.05,81.93,35.55,26.5,24.5,0
-0.14,0.05,82.04,35.58,26.5,24.5,0
-0.7,0.1,80.64,35.52,26.5,24.4,0
0.58,0.26,77.39,35.35,26.6,24.4,0
1.17,0.33,78.62,35.28,26.6,24.4,0
-0.94,0.48,87.67,35.41,26.6,24.4,0
-0.26,0.51,79.88,35.45,26.6,24.4,0
-0.95,0.46,77.84,35.18,26.6,24.4,0
-0.56,0.46,87,34.83,26.6,24.3,0
1.9,0.45,101.57,34.89,26.6,24.4,0
-0.02,0.43,92.67,34.84,26.6,24.3,0
0.16,0.43,81.2,34.67,26.6,24.3,-1
-0.05,2.44,94.95,27.46,26.4,21.4,-1
0.01,2.64,115.48,27.82,26.4,21.4,-1
0.02,2.84,99.4,28.19,26.4,21.4,-1
-0.01,2.62,128.26,28.54,26.4,21.2,-1
0.02,3.03,94.47,28.85,26.4,21.2,-1
0.01,3.09,88.09,29.08,26.4,21.1,-1
-0.02,2.83,109.43,29.25,26.4,21.1,-1
0,3.37,141.96,29.39,26.4,21.1,-1
0.13,3.36,123.8,29.5,26.4,21,1
-0.1,2.28,99.12,29.6,26.4,21.1,1
0,2.04,108.93,29.72,26.4,21.1,1
-0.03,3.57,118.55,29.84,26.4,21.2,1
0.03,4.81,118.48,29.95,26.4,21.4,1
-0.04,6.05,88.6,30.11,26.5,21.4,1
0.19,6.55,89.81,30.25,26.5,21.5,1
-0.11,6.75,67.22,30.41,26.5,21.5,1
-0.09,5.7,74.64,30.56,26.5,21.6,1
-0.04,5.32,85.62,30.72,26.5,21.5,1
-0.08,3.62,117.99,30.86,26.5,21.6,1
0.12,3.73,105.95,31,26.6,21.7,1
-0.05,3.11,100.11,31.12,26.6,21.7,1
0.06,2.93,81.31,31.26,26.6,21.8,1
0.01,2.54,80.51,31.39,26.6,21.8,1
-0.02,3.23,99.7,31.51,26.6,21.8,1
0.01,3.25,101.62,31.6,26.6,21.8,1
0.01,4.25,86.42,31.69,26.6,21.8,1
0.02,3.99,106.79,31.81,26.6,21.8,1
-0.05,5.68,84.36,31.91,26.6,21.9,1
0.01,5.43,88.63,31.98,26.6,21.8,1
0,5.06,87.1,32.02,26.6,21.7,1
0.03,5.08,82.06,32.05,26.6,21.7,1
0.12,4.74,79.74,32.06,26.6,21.8,1
-0.13,5.55,76.55,32.08,26.7,21.9,1
-0.03,4.71,84.44,32.08,26.7,21.8,1
0.02,3.93,92.7,32.07,26.7,21.7,1
0,3.54,103.6,32.01,26.7,21.6,1
0,3.97,111.84,31.93,26.7,21.6,1
0.23,4.2,125.53,31.8,26.7,21.5,1
-0.19,3.82,85.05,31.66,26.7,21.6,1
-0.03,3.48,86.92,31.55,26.7,21.5,1
0.08,3.88,91.86,31.44,26.7,21.6,1
-0.12,2.68,75.44,31.36,26.7,21.6,1
0.04,2.93,84.71,31.23,26.7,21.5,1
0.11,4.21,94.86,31.19,26.7,21.5,1
-0.14,4.17,90.8,31.22,26.7,21.6,1
