BVP,EDA,HR,TEMP,Tin,Rhin,TSV
0.01,2.85,68.94,34.4,24.9,58.6,0
-0.12,3.38,77.84,34.44,24.9,57.9,0
-0.08,3.76,84.04,34.52,25,57.2,0
0.28,4.46,82.6,34.66,25.1,56.8,0
0.04,4.36,81.25,34.72,25.1,56.2,1
-0.18,4.31,81.87,34.8,25.2,56,1
-0.07,4.28,82.08,34.83,25.3,55.5,1
0.1,4.13,82.53,34.89,25.3,55,1
0.12,3.71,82.64,34.92,25.4,54.6,1
0,3.31,84.26,34.93,25.4,54.1,1
-0.14,3.11,85,34.93,25.5,53.8,1
0.09,2.85,84.68,34.93,25.5,53.4,1
-0.21,2.63,86.92,34.98,25.6,53.1,1
0.05,2.62,82.5,35.04,25.7,52.8,1
0.71,2.59,79.44,35.12,25.7,52.4,1
-0.91,2.84,77.64,35.16,25.8,52.1,1
0.13,3.21,77.05,35.23,25.8,51.7,0
0.32,3.34,78.75,35.32,25.8,51.4,0
-0.18,3.43,80.36,35.44,25.9,51,0
0.3,4.18,82.41,35.54,25.9,50.8,0
-0.11,4.02,83.38,35.55,26,50.6,0
-0.05,4.52,81.26,35.54,26,50.3,0
-0.11,4.61,79.56,35.52,26.1,50,1
-0.01,4.07,77.27,35.51,26.1,49.7,1
-0.08,3.94,77.12,35.55,26.2,49.5,1
0.1,3.74,76.72,35.55,26.2,49.1,1
0.09,3.95,79.23,35.56,26.2,48.9,1
-0.09,3.6,83.12,35.57,26.3,48.8,1
0.56,2.96,85.63,35.58,26.3,48.6,1
-0.1,2.88,86.98,35.54,26.4,48.3,1
-0.6,3.38,81.31,35.56,26.4,48.2,1
0.32,3.24,76.6,35.56,26.4,48.1,1
-0.08,3.26,77.72,35.57,26.5,47.9,1
0.02,4.15,79.16,35.59,26.5,47.6,1
-0.19,4.16,78.22,35.58,26.5,47.6,1
-0.14,3.65,79.58,35.58,26.6,47.6,1
0.11,3.16,79.82,35.61,26.6,47.7,1
-0.38,3.33,85.65,35.64,26.6,48,1
0.56,3.22,86.53,35.65,26.6,48.3,1
-0.08,3.06,84.11,35.7,26.6,48.3,1
