BVP,EDA,HR,TEMP,Tin,Rhin,TSV
0.11,0.56,71.11,34.51,22.9,31.7,1
0.04,0.9,66.39,34.41,22.9,32.2,1
0.47,1,64.03,34.43,22.9,32.1,1
-0.49,1.41,65.58,34.54,22.9,31.7,1
-0.08,1.46,72.76,34.62,22.9,31.7,1
0.59,1.62,72.09,34.68,22.9,31.7,1
-0.58,1.72,64.64,34.81,22.9,31.7,1
-0.04,1.79,64.57,34.91,23,32.3,1
-0.07,1.93,64.89,34.9,23,31.7,1
1.18,1.6,72.37,34.84,23,31.6,1
-0.86,1.35,96.27,34.8,23,31.8,1
-0.5,1.36,100.94,34.84,23,31.7,1
0.18,1.9,68.48,34.89,23,31.6,1
0.05,1.94,59.85,34.87,23,31.6,1
0.02,1.7,62.1,34.82,23,31.8,1
0.03,1.75,66.23,34.72,23.1,31.9,1
0.03,2.15,64.59,34.63,23.1,31.9,1
-0.06,2.53,63.45,34.63,23.1,31.6,1
0.04,2.69,63.78,34.63,23.1,31.7,1
-0.07,2.62,62.27,34.64,23.1,31.7,1
0.68,1.77,70.3,34.52,23.1,33.1,1
-2.07,2.44,75.44,34.45,23.2,31.8,1
1.38,1.71,72.09,34.27,23.2,31.5,1
-0.01,1.05,66.25,34.48,23.2,31.4,1
-0.15,1.42,60.65,34.58,23.2,31.3,1
0.08,1.66,61.85,34.65,23.2,31.4,1
0.31,1.63,67.07,34.69,23.2,31.5,1
-0.11,1.78,64.83,34.7,23.3,31.3,1
0.13,1.74,61.19,34.67,23.3,31.2,1
-0.25,1.64,64.14,34.64,23.3,31.2,1
0.19,0.94,67.53,34.58,23.3,31.2,1
-0.1,0.67,68.91,34.53,23.3,31.1,1
-0.21,0.7,64.4,34.47,23.3,31,1
-0.13,1.26,67.25,34.43,23.3,31.1,1
0.17,1.91,64.52,34.41,23.3,30.9,1
0,1.85,63.84,34.44,23.4,31.2,1
0.09,1.8,65.45,34.35,23.4,31.2,1
-0.18,1.75,60.06,34.25,23.4,31,1
0.14,1.74,61.69,34.26,23.4,30.8,1
0.05,1.71,58.99,34.28,23.4,31,1
0.08,1.59,58.7,34.35,23.4,31,1
0.03,1.59,61.33,34.4,23.4,31.1,1
-0.12,1.64,59.48,34.43,23.4,30.9,1
-0.29,1.03,73.46,34.45,23.4,30.8,1
0.31,1.4,77.65,34.35,23.4,30.8,1
-0.05,1.51,61.03,34.36,23.4,30.8,1
0.16,1.7,61.19,34.4,23.4,30.9,1
-0.17,1.54,62.98,34.42,23.4,30.8,1
0.19,1.51,61.9,34.45,23.4,30.7,1
-0.26,1.41,61.49,34.48,23.4,30.7,1
0.2,1.27,62.29,34.54,23.4,30.6,1
0.15,1.08,63.17,34.62,23.4,30.7,1
-0.3,0.91,62.61,34.64,23.5,30.6,1
0.1,0.6,66.66,34.7,23.5,30.7,1
-0.07,0.45,70.91,34.67,23.5,30.5,1
-1.28,0.65,68.48,34.59,23.5,30.2,1
1.36,0.6,90.67,34.45,23.5,29.9,1
-0.09,0.57,97.84,34.35,23.5,29.5,1
0.16,0.51,70.09,34.25,23.5,29.1,1
-0.26,0.93,92.74,34.2,23.5,29.9,1
0.2,1.05,85.49,34.17,23.5,29.8,1
-0.01,1.17,78.48,34.09,23.5,30,1
-0.5,1.14,117.93,34.02,23.5,30,1
0.64,0.52,117.58,33.67,23.5,29.7,1
-0.18,0.98,74.61,33.14,23.5,29.6,1
-0.19,0.21,68.53,33.03,23.5,29.5,1
0.11,0.24,69.65,32.97,23.5,29.7,1
0.14,0.29,105.36,32.85,23.5,29.7,1
-0.12,0.35,112.76,32.82,23.5,29.6,1
0.05,0.28,70.83,32.81,23.5,29.7,1
0.15,0.33,67.96,32.83,23.5,29.7,1
0.15,0.29,64.88,32.88,23.5,29.7,1
0.12,0.19,69.82,32.91,23.5,29.7,1
-1.14,0.13,71.99,32.97,23.5,29.6,1
0.66,0.41,72.47,33.06,23.5,29.5,1
-0.08,0.49,73.95,33.26,23.5,29.5,1
0.2,0.42,76.46,33.35,23.5,29.4,1
0.07,0.17,71.52,33.42,23.5,29.6,1
