TIme,BVP,EDA,HR,TEMP,Tin,Rhin,TSV
2020-11-06 11:05,0.11,0.56,71.11,34.51,22.90,31.70,1.00
2020-11-06 11:06,0.04,0.90,66.39,34.41,22.90,32.20,1.00
2020-11-06 11:07,0.47,1.00,64.03,34.43,22.90,32.10,1.00
2020-11-06 11:08,-0.49,1.41,65.58,34.54,22.90,31.70,1.00
2020-11-06 11:09,-0.08,1.46,72.76,34.62,22.90,31.70,1.00
2020-11-06 11:10,0.59,1.62,72.09,34.68,22.90,31.70,1.00
2020-11-06 11:11,-0.58,1.72,64.64,34.81,22.90,31.70,1.00
2020-11-06 11:12,-0.04,1.79,64.57,34.91,23.00,32.30,1.00
2020-11-06 11:13,-0.07,1.93,64.89,34.90,23.00,31.70,1.00
2020-11-06 11:14,1.18,1.60,72.37,34.84,23.00,31.60,1.00
2020-11-06 11:15,-0.86,1.35,96.27,34.80,23.00,31.80,1.00
2020-11-06 11:16,-0.50,1.36,100.94,34.84,23.00,31.70,1.00
2020-11-06 11:17,0.18,1.90,68.48,34.89,23.00,31.60,1.00
2020-11-06 11:18,0.05,1.94,59.85,34.87,23.00,31.60,1.00
2020-11-06 11:19,0.02,1.70,62.10,34.82,23.00,31.80,1.00
2020-11-06 11:20,0.03,1.75,66.23,34.72,23.10,31.90,1.00
2020-11-06 11:21,0.03,2.15,64.59,34.63,23.10,31.90,1.00
2020-11-06 11:22,-0.06,2.53,63.45,34.63,23.10,31.60,1.00
2020-11-06 11:23,0.04,2.69,63.78,34.63,23.10,31.70,1.00
2020-11-06 11:24,-0.07,2.62,62.27,34.64,23.10,31.70,1.00
2020-11-06 11:25,0.68,1.77,70.30,34.52,23.10,33.10,1.00
2020-11-06 11:26,-2.07,2.44,75.44,34.45,23.20,31.80,1.00
2020-11-06 11:27,1.38,1.71,72.09,34.27,23.20,31.50,1.00
2020-11-06 11:28,-0.01,1.05,66.25,34.48,23.20,31.40,1.00
2020-11-06 11:29,-0.15,1.42,60.65,34.58,23.20,31.30,1.00
2020-11-06 11:30,0.08,1.66,61.85,34.65,23.20,31.40,1.00
2020-11-06 11:31,0.31,1.63,67.07,34.69,23.20,31.50,1.00
2020-11-06 11:32,-0.11,1.78,64.83,34.70,23.30,31.30,1.00
2020-11-06 11:33,0.13,1.74,61.19,34.67,23.30,31.20,1.00
2020-11-06 11:34,-0.25,1.64,64.14,34.64,23.30,31.20,1.00
2020-11-06 11:35,0.19,0.94,67.53,34.58,23.30,31.20,1.00
2020-11-06 11:36,-0.10,0.67,68.91,34.53,23.30,31.10,1.00
2020-11-06 11:37,-0.21,0.70,64.40,34.47,23.30,31.00,1.00
2020-11-06 11:38,-0.13,1.26,67.25,34.43,23.30,31.10,1.00
2020-11-06 11:39,0.17,1.91,64.52,34.41,23.30,30.90,1.00
2020-11-06 11:40,0.00,1.85,63.84,34.44,23.40,31.20,1.00
2020-11-06 11:41,0.09,1.80,65.45,34.35,23.40,31.20,1.00
2020-11-06 11:42,-0.18,1.75,60.06,34.25,23.40,31.00,1.00
2020-11-06 11:43,0.14,1.74,61.69,34.26,23.40,30.80,1.00
2020-11-06 11:44,0.05,1.71,58.99,34.28,23.40,31.00,1.00
2020-11-06 11:45,0.08,1.59,58.70,34.35,23.40,31.00,1.00
2020-11-06 11:46,0.03,1.59,61.33,34.40,23.40,31.10,1.00
2020-11-06 11:47,-0.12,1.64,59.48,34.43,23.40,30.90,1.00
2020-11-06 11:48,-0.29,1.03,73.46,34.45,23.40,30.80,1.00
2020-11-06 11:49,0.31,1.40,77.65,34.35,23.40,30.80,1.00
2020-11-06 11:50,-0.05,1.51,61.03,34.36,23.40,30.80,1.00
2020-11-06 11:51,0.16,1.70,61.19,34.40,23.40,30.90,1.00
2020-11-06 11:52,-0.17,1.54,62.98,34.42,23.40,30.80,1.00
2020-11-06 11:53,0.19,1.51,61.90,34.45,23.40,30.70,1.00
2020-11-06 11:54,-0.26,1.41,61.49,34.48,23.40,30.70,1.00
2020-11-06 11:55,0.20,1.27,62.29,34.54,23.40,30.60,1.00
2020-11-06 11:56,0.15,1.08,63.17,34.62,23.40,30.70,1.00
2020-11-06 11:57,-0.30,0.91,62.61,34.64,23.50,30.60,1.00
2020-11-06 11:58,0.10,0.60,66.66,34.70,23.50,30.70,1.00
2020-11-06 11:59,-0.07,0.45,70.91,34.67,23.50,30.50,1.00
2020-11-06 12:00,-1.28,0.65,68.48,34.59,23.50,30.20,1.00
2020-11-06 12:01,1.36,0.60,90.67,34.45,23.50,29.90,1.00
2020-11-06 12:02,-0.09,0.57,97.84,34.35,23.50,29.50,1.00
2020-11-06 12:03,0.16,0.51,70.09,34.25,23.50,29.10,1.00
2020-11-06 12:04,-0.26,0.93,92.74,34.20,23.50,29.90,1.00
2020-11-06 12:05,0.20,1.05,85.49,34.17,23.50,29.80,1.00
2020-11-06 12:06,-0.01,1.17,78.48,34.09,23.50,30.00,1.00
2020-11-06 12:07,-0.50,1.14,117.93,34.02,23.50,30.00,1.00
2020-11-06 12:08,0.64,0.52,117.58,33.67,23.50,29.70,1.00
